Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath
"Allston","219 Western Ave. #S502 Allston","5264","0","0","2","2"
"Allston","219 Western Ave. #S529 Allston","4154","0","0","1","1"
"Allston","219 Western Ave. #S602 Allston","5357","0","0","2","2"
"Allston","219 Western Ave. #N208 Allston","5092","0","0","2","2"
"Allston","219 Western Ave. #S428 Allston","4900","0","0","2","2"
"Allston","219 Western Ave. #N320 Allston","3903","0","0","1","1"
"Allston","219 Western Ave. #N503 Allston","3903","0","0","1","1"
"Allston","219 Western Ave. #N921 Allston","4286","0","0","1","1"
"Allston","219 Western Ave. #S628 Allston","5010","0","0","2","2"
"Allston","219 Western Ave. #N420 Allston","4156","0","0","1","1"
"Allston","219 Western Ave. #N401 Allston","5065","0","0","2","2"
"Allston","219 Western Ave. #N616 Allston","4854","0","0","2","2"
"Allston","219 Western Ave. #N507 Allston","5065","0","0","2","2"
"Allston","219 Western Ave. #S230 Allston","4272","0","0","1","1"
"Back Bay","30 Dalton #2307 Back Bay","8243","0","0","2","2"
"Back Bay","30 Dalton #2104 Back Bay","4740","0","0","1","1"
"Back Bay","30 Dalton #2401 Back Bay","4888","0","0","1","1"
"Back Bay","30 Dalton #2302 Back Bay","7191","0","0","2","2"
"Back Bay","30 Dalton #2004 Back Bay","4700","0","0","1","1"
"Fenway","1350 Boylston St. #1207 Fenway","4445","0","0","1","1"
"Fenway","1350 Boylston St. #PH1612 Fenway","4693","0","0","1","1"
"Fenway","1350 Boylston St. #708 Fenway","5679","0","0","2","2"
"Fenway","1350 Boylston St. #1111 Fenway","4785","0","0","1","1"
"South End","50 Malden St. #325 South End","4020","0","0","2","1"
"South End","50 Malden St. #207 South End","3555","0","0","2","1"
"South End","50 Malden St. #625 South End","4065","0","0","2","1"
"Fenway","200 Brookline Ave. #610 Fenway","3604","0","0","N/A","1"
"Fenway","200 Brookline Ave. #916 Fenway","4796","0","0","1","1"
"Fenway","200 Brookline Ave. #1007 Fenway","4796","0","0","1","1"
"Fenway","200 Brookline Ave. #1513 Fenway","5221","0","0","1","1"
"Fenway","200 Brookline Ave. #716 Fenway","4746","0","0","1","1"
"Fenway","200 Brookline Ave. #314 Fenway","7260","0","0","2","2"
"Fenway","200 Brookline Ave. #1410 Fenway","3955","0","0","N/A","1"
"Fenway","200 Brookline Ave. #513 Fenway","4736","0","0","1","1"
"Fenway","200 Brookline Ave. #615-A Fenway","6949","0","0","2","2"
"Jamaica Plain","50 Evergreen St. #14 Jamaica Plain","2700","0","0","1","1"
"Allston","75 Braintree St. #203 Allston","4085","0","0","2","1"
"Allston","75 Braintree St. #218 Allston","3215","0","0","1","1"
"Brighton","67 Chiswick Rd. #4 Brighton","2960","0","0","2","1"
"Brighton","125 Guest St. #1711 Brighton","6559","0","0","3","2"
"Brighton","1550 Soldiers Field Rd. #516 Brighton","4008","0","0","2","2"
"Bay Village","212 Stuart St. #1605 Bay Village","5385","0","0","1","1"
"Bay Village","212 Stuart St. #1505 Bay Village","5335","0","0","1","1"
"Bay Village","212 Stuart St. #202 Bay Village","6450","0","0","2","2"
"Bay Village","212 Stuart St. #1901 Bay Village","14950","0","0","2","2"
"Mission Hill","101 South Huntington Ave. #201 Mission Hill","4759","0","0","2","2"
"Fenway","151 Park Dr. #11 Fenway","3700","0","0","2","1"
"Brighton","125 Chiswick Rd. #407 Brighton","2650","0","0","1","1"
"Brighton","202 Corey Rd. #1 Brighton","2950","0","0","2","1"
