Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit_distance,Northeastern University_transit_cost,Northeastern University_driving_distance,Boston University_transit_distance,Boston University_transit_cost,Boston University_driving_distance,Boston College_transit_distance,Boston College_transit_cost,Boston College_driving_distance
Allston,"67 Harvard Ave.,Unit 5,Boston,MA,02134,Allston",2150,0,0,1,1,4499,4.1,5405,1387,1.7,1270,4353,2.4,4123
Allston,"71 Harvard Ave.,Unit 2,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Allston,"71 Harvard Ave.,Unit 5,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Allston,"71 Harvard Ave.,Unit 4,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Brighton,"126 Warren St.,Unit 34,Boston,MA,02135,Brighton",2150,0,0,1,1,5222,2.4,4701,2002,2.4,2025,3190,2.4,2899
Brighton,"107 Gordon St.,Unit 9,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Allston,"71 Harvard Ave.,Unit 3,Boston,MA,02134,Allston",2150,0,0,1,1,4484,4.1,5419,1372,1.7,1255,4338,2.4,4108
Fenway,"24 Peterborough St.,Unit 11,Boston,MA,02215,Fenway",2150,0,0,1,1,584,0,996,848,0,1200,7865,2.4,6507
Brighton,"107 Gordon St.,Unit 16,Boston,MA,02135,Brighton",2150,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"107 Gordon St.,Unit 3,Boston,MA,02135,Brighton",2175,0,0,1,1,7316,4.1,6593,1945,2.4,2519,3492,2.4,2962
Brighton,"10 Lothian Rd.,Unit 11,Boston,MA,02135,Brighton",2175,0,0,1,1,7076,2.4,6114,3856,2.4,3829,1596,2.4,1456
Brighton,"1683 Commonwealth Av,Unit 6,Boston,MA,02135,Brighton",2175,0,0,1,1,6251,2.4,5365,3031,2.4,3080,2144,2.4,2484
East Boston,"147 Meridian St.,Unit 4,Boston,MA,02128,East Boston",2195,0,0,1,1,6715,2.4,7613,8631,2.4,7097,13326,2.4,17773
Allston,"37 Aldie St.,Unit 3A,Boston,MA,02134,Allston",2195,0,0,1,1,7009,3.4,7593,2723,1.7,2518,5217,4.1,4252
East Boston,"147 Meridian St.,Unit 4,Boston,MA,02128,East Boston",2195,0,0,1,1,6715,2.4,7613,8631,2.4,7097,13326,2.4,17773
East Boston,"147 Meridian St.,Unit 4,Boston,MA,02128,East Boston",2195,0,0,1,1,6715,2.4,7613,8631,2.4,7097,13326,2.4,17773
Jamaica Plain,"3611 Washington St.,Unit 2609,Boston,MA,02130,Jamaica Plain",2197,0,0,1,1,6714,1.7,4624,8945,3.4,7003,11681,5.8,8020
