Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit,Boston University_driving,Boston College_transit,Boston College_driving,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Mission Hill,75 Saint Alphonsus St. #1510 Mission Hill,2685,0.0,0.0,,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1408 Mission Hill,2484,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #609 Mission Hill,3514,0.0,0.0,2.0,1.5,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1503 Mission Hill,2574,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #607 Mission Hill,4901,0.0,0.0,3.0,2.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1901 Mission Hill,3369,0.0,0.0,2.0,1.5,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1110 Mission Hill,2670,0.0,0.0,,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #606 Mission Hill,2534,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1504 Mission Hill,2449,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #603 Mission Hill,2534,0.0,0.0,1.0,1.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1109 Mission Hill,3539,0.0,0.0,2.0,1.5,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #1807 Mission Hill,4941,0.0,0.0,3.0,2.0,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Mission Hill,75 Saint Alphonsus St. #501 Mission Hill,3314,0.0,0.0,2.0,1.5,902.0,966.0,5700.0,2297.0,12405.0,6937.0,2.4,4.1,2.4
Fenway,1330 Boylston St. #517 Fenway,3996,0.0,0.0,1.0,1.5,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #609 Fenway,4900,0.0,0.0,1.0,1.5,9002.0,6850.0,8303.0,7064.0,1926.0,2031.0,3.4,3.4,1.7
Fenway,1330 Boylston St. #917 Fenway,4122,0.0,0.0,1.0,1.5,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #218 Fenway,4999,0.0,0.0,2.0,2.0,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #219 Fenway,3699,0.0,0.0,1.0,1.0,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #203 Fenway,4450,0.0,0.0,1.0,1.0,2902.0,1185.0,1462.0,1267.0,7771.0,6214.0,0,1.7,2.4
Fenway,1330 Boylston St. #1317 Fenway,4930,0.0,0.0,1.0,1.5,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #1113 Fenway,3699,0.0,0.0,1.0,1.0,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #918 Fenway,5597,0.0,0.0,2.0,2.0,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,1330 Boylston St. #418 Fenway,5100,0.0,0.0,2.0,2.0,3634.0,1131.0,699.0,1328.0,7716.0,6269.0,0,0,2.4
Fenway,180 Brookline Ave. #1306 Fenway,5350,0.0,0.0,2.0,2.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #253 Fenway,3482,0.0,0.0,1.0,1.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #842 Fenway,3507,0.0,0.0,1.0,1.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #1401 Fenway,3757,0.0,0.0,1.0,1.0,2712.0,1429.0,1348.0,1153.0,7690.0,6100.0,1.7,1.7,2.4
Fenway,180 Brookline Ave. #244 Fenway,3732,0.0,0.0,1.0,1.0,2573.0,1438.0,1287.0,1147.0,7330.0,6094.0,1.7,1.7,2.4
