Area Name,Address,Rent,Violent CrimeRate,Overall CrimeRate,Bed,Bath,Northeastern University_transit,Northeastern University_driving,Boston University_transit_distance,Boston University_driving_distance,Boston College_transit_distance,Boston College_driving_distance,Northeastern University_transit_cost,Boston University_transit_cost,Boston College_transit_cost
Dorchester,"401 Mount Vernon St.,Unit 375-329,Boston,MA,02125,Dorchester",2589,0.284,0.37,1.0,1.0,9578.0,6082,12986.0,12295,16220.0,20800,1.7,3.4,4.1
Brighton,"1550 Soldiers Field Rd.,Unit 622,Boston,MA,02135,Brighton",2594,0.13,0.25,1.0,1.0,10769.0,8280,5568.0,6786,4415.0,3708,5.1,3.4,4.1
Back Bay,"513 Beacon,Unit 2,Boston,MA,02116,Back Bay",2595,0.0,0.0,1.0,1.0,1586.0,1109,590.0,590,8091.0,11557,1.7,0.0,2.4
Brighton,"313 Summit Ave.,Unit 7,Boston,MA,02135,Brighton",2595,0.13,0.25,2.0,1.0,5622.0,4696,2402.0,2411,2839.0,2679,2.4,2.4,2.4
Chinatown,"74-76 Tyler,Unit B1,Boston,MA,02111,Chinatown",2595,0.0,0.0,1.0,1.0,3904.0,4013,5728.0,3883,10422.0,15416,1.7,2.4,2.4
Fenway,"31 Peterborough St.,Unit 9,Boston,MA,02215,Fenway",2595,0.2866,1.86,1.0,1.0,598.0,982,834.0,1186,7851.0,6493,0.0,0.0,2.4
Dorchester,"1943 Dorchester Ave.,Unit 202,Boston,MA,02124,Dorchester",2595,0.284,0.37,1.0,1.0,8106.0,10799,12602.0,17012,19632.0,13544,1.7,3.4,2.4
North Cambridge,"203 Concord Turnpike,Unit 2221,Cambridge,MA,02140,North Cambridge",2596,0.0,0.0,1.0,1.0,14103.0,10600,16006.0,9106,20701.0,10982,2.4,2.4,2.4
Brighton,"11 Camelot Ct.,Unit 11-2k,Boston,MA,02135,Brighton",2596,0.13,0.25,1.0,1.0,5479.0,6322,2259.0,2248,3324.0,3493,2.4,2.4,2.4
Dorchester,"117 Park St.,Unit 3,Boston,MA,02122,Dorchester",2600,0.284,0.37,2.0,1.0,7738.0,7816,14516.0,14029,17907.0,22534,1.7,4.1,2.4
